run_id,evaldir,suite,checkpoint,device,episodes,seeds,policy,baseline_kind,cond,cond_kind,mix_tv,mix_tv__lo,mix_tv__hi,mix_tv__stderr,mix_tv__n,mix_tv__src,target_tv_vsU,target_tv_vsU__lo,target_tv_vsU__hi,target_tv_vsU__stderr,target_tv_vsU__n,target_tv_vsU__src,target_success,target_success__lo,target_success__hi,target_success__stderr,target_success__n,target_success__src,mix_H,mix_H__lo,mix_H__hi,mix_H__stderr,mix_H__n,mix_H__src,mix_hell,mix_hell__lo,mix_hell__hi,mix_hell__stderr,mix_hell__n,mix_hell__src,mix_js,mix_js__lo,mix_js__hi,mix_js__stderr,mix_js__n,mix_js__src,mix_kl_pu,mix_kl_pu__lo,mix_kl_pu__hi,mix_kl_pu__stderr,mix_kl_pu__n,mix_kl_pu__src,mix_l2,mix_l2__lo,mix_l2__hi,mix_l2__stderr,mix_l2__n,mix_l2__src
mixing-grid_baseline_ckpt_256_0_1_2_3_4_5_6_7_8_9_9fb25867,…/mixing-grid/baseline/hadamard,mixing-grid,,cpu,256,"0,1,2,3,4,5,6,7,8,9",baseline,hadamard,baseline_hadamard,base,0.984375,0.984375,0.984375,0.0,2560,ci,,,,,,,,,,,,,0.00010154399933526292,0.00010154399933526292,0.00010154399933526292,0.0,2560,ci,0.9354143738746643,0.9354143738746643,0.9354143738746643,0.0,2560,ci,0.6527416706085205,0.6527416706085205,0.6527416706085205,0.0,2560,ci,4.158807754516602,4.158807754516602,4.158807754516602,0.0,2560,ci,0.9921567440032959,0.9921567440032959,0.9921567440032959,0.0,2560,ci
mixing-grid_ckpt_seed0_256_0_1_2_3_4_5_6_7_8_9_dd0c89e8,…/mixing-grid/seed0/main,mixing-grid,runs/mixing-grid/seed0,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,ckpt_policy,base,0.5326703786849976,0.5326703786849976,0.5326703786849976,0.0,2560,ci,,,,,,,,,,,,,3.316514730453491,3.316514730453491,3.316514730453491,0.0,2560,ci,0.5660167336463928,0.5660167336463928,0.5660167336463928,0.0,2560,ci,0.24169296026229858,0.24169296026229858,0.24169296026229858,0.0,2560,ci,0.842380940914154,0.842380940914154,0.842380940914154,0.0,2560,ci,0.1586766391992569,0.1586766391992569,0.1586766391992569,0.0,2560,ci
mixing-grid_ckpt_seed0_256_0_1_2_3_4_5_6_7_8_9_dd0c89e8,…/mixing-grid/seed0/main,mixing-grid,runs/mixing-grid/seed0,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,ckpt_policy__abl_NoPE,other,0.5282300710678101,0.5282300710678101,0.5282300710678101,0.0,2560,ci,,,,,,,,,,,,,3.3112494945526123,3.3112494945526123,3.3112494945526123,0.0,2560,ci,0.5670576095581055,0.5670576095581055,0.5670576095581055,0.0,2560,ci,0.24259531497955322,0.24259531497955322,0.24259531497955322,0.0,2560,ci,0.8476470112800598,0.8476470112800598,0.8476470112800598,0.0,2560,ci,0.1607450395822525,0.1607450395822525,0.1607450395822525,0.0,2560,ci
mixing-grid_ckpt_seed0_256_0_1_2_3_4_5_6_7_8_9_dd0c89e8,…/mixing-grid/seed0/main,mixing-grid,runs/mixing-grid/seed0,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,ckpt_policy__abl_GlobalCoin,other,0.5302862524986267,0.5302862524986267,0.5302862524986267,0.0,2560,ci,,,,,,,,,,,,,3.356423854827881,3.356423854827881,3.356423854827881,0.0,2560,ci,0.5605305433273315,0.5605305433273315,0.5605305433273315,0.0,2560,ci,0.23613831400871277,0.23613831400871277,0.23613831400871277,0.0,2560,ci,0.8024721741676331,0.8024721741676331,0.8024721741676331,0.0,2560,ci,0.14750073850154877,0.14750073850154877,0.14750073850154877,0.0,2560,ci
mixing-grid_ckpt_seed0_256_0_1_2_3_4_5_6_7_8_9_dd0c89e8,…/mixing-grid/seed0/main,mixing-grid,runs/mixing-grid/seed0,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,ckpt_policy__abl_TimeFrozen,other,0.7402441501617432,0.7402441501617432,0.7402441501617432,0.0,2560,ci,,,,,,,,,,,,,2.1527528762817383,2.1527528762817383,2.1527528762817383,0.0,2560,ci,0.7154446840286255,0.7154446840286255,0.7154446840286255,0.0,2560,ci,0.40597403049468994,0.40597403049468994,0.40597403049468994,0.0,2560,ci,2.006143569946289,2.006143569946289,2.006143569946289,0.0,2560,ci,0.4298119843006134,0.4298119843006134,0.4298119843006134,0.0,2560,ci
mixing-grid_ckpt_seed0_256_0_1_2_3_4_5_6_7_8_9_dd0c89e8,…/mixing-grid/seed0/main,mixing-grid,runs/mixing-grid/seed0,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,ckpt_policy__abl_NodePermute,other,0.5534199476242065,0.5534199476242065,0.5534199476242065,0.0,2560,ci,,,,,,,,,,,,,3.1429331302642822,3.1429331302642822,3.1429331302642822,0.0,2560,ci,0.5895329117774963,0.5895329117774963,0.5895329117774963,0.0,2560,ci,0.26561781764030457,0.26561781764030457,0.26561781764030457,0.0,2560,ci,1.0159634351730347,1.0159634351730347,1.0159634351730347,0.0,2560,ci,0.20784704387187958,0.20784704387187958,0.20784704387187958,0.0,2560,ci
mixing-grid_ckpt_seed0_256_0_1_2_3_4_5_6_7_8_9_dd0c89e8,…/mixing-grid/seed0/main,mixing-grid,runs/mixing-grid/seed0,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,ckpt_policy_abl_GlobalCoin,ablation,0.5302862524986267,0.5302862524986267,0.5302862524986267,0.0,2560,ci,,,,,,,,,,,,,3.356423854827881,3.356423854827881,3.356423854827881,0.0,2560,ci,0.5605305433273315,0.5605305433273315,0.5605305433273315,0.0,2560,ci,0.23613831400871277,0.23613831400871277,0.23613831400871277,0.0,2560,ci,0.8024721741676331,0.8024721741676331,0.8024721741676331,0.0,2560,ci,0.14750073850154877,0.14750073850154877,0.14750073850154877,0.0,2560,ci
mixing-grid_ckpt_seed0_256_0_1_2_3_4_5_6_7_8_9_dd0c89e8,…/mixing-grid/seed0/main,mixing-grid,runs/mixing-grid/seed0,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,ckpt_policy_abl_NoPE,ablation,0.5282300710678101,0.5282300710678101,0.5282300710678101,0.0,2560,ci,,,,,,,,,,,,,3.3112494945526123,3.3112494945526123,3.3112494945526123,0.0,2560,ci,0.5670576095581055,0.5670576095581055,0.5670576095581055,0.0,2560,ci,0.24259531497955322,0.24259531497955322,0.24259531497955322,0.0,2560,ci,0.8476470112800598,0.8476470112800598,0.8476470112800598,0.0,2560,ci,0.1607450395822525,0.1607450395822525,0.1607450395822525,0.0,2560,ci
mixing-grid_ckpt_seed0_256_0_1_2_3_4_5_6_7_8_9_dd0c89e8,…/mixing-grid/seed0/main,mixing-grid,runs/mixing-grid/seed0,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,ckpt_policy_abl_NodePermute,ablation,0.5534199476242065,0.5534199476242065,0.5534199476242065,0.0,2560,ci,,,,,,,,,,,,,3.1429331302642822,3.1429331302642822,3.1429331302642822,0.0,2560,ci,0.5895329117774963,0.5895329117774963,0.5895329117774963,0.0,2560,ci,0.26561781764030457,0.26561781764030457,0.26561781764030457,0.0,2560,ci,1.0159634351730347,1.0159634351730347,1.0159634351730347,0.0,2560,ci,0.20784704387187958,0.20784704387187958,0.20784704387187958,0.0,2560,ci
mixing-grid_ckpt_seed0_256_0_1_2_3_4_5_6_7_8_9_dd0c89e8,…/mixing-grid/seed0/main,mixing-grid,runs/mixing-grid/seed0,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,ckpt_policy_abl_TimeFrozen,ablation,0.7402441501617432,0.7402441501617432,0.7402441501617432,0.0,2560,ci,,,,,,,,,,,,,2.1527528762817383,2.1527528762817383,2.1527528762817383,0.0,2560,ci,0.7154446840286255,0.7154446840286255,0.7154446840286255,0.0,2560,ci,0.40597403049468994,0.40597403049468994,0.40597403049468994,0.0,2560,ci,2.006143569946289,2.006143569946289,2.006143569946289,0.0,2560,ci,0.4298119843006134,0.4298119843006134,0.4298119843006134,0.0,2560,ci
