run_id,evaldir,meta_hash,suite,checkpoint,device,episodes,seeds,policy,baseline_kind,ablations,model_config_hash
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_874fcd45,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed0/robust_sweep/robust_sweeps/ckpt_policy_abl_NodePermute/coin_dephase,874fcd45520b3cb1cba35a9aaa77439b,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_8c8d591b,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed1/robust_sweep/robust_sweeps/ckpt_policy/edge_phase,8c8d591b7476a1ac9e161b6209ec1307,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_950f98b8,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed0/robust_sweep/robust_sweeps/ckpt_policy/coin_dephase,950f98b8cf7df122a14b3e55489a62b0,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_9b838704,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed0/robust_sweep/robust_sweeps/ckpt_policy_abl_NoPE/edge_phase,9b8387047ee29895d1027b8f731f1d91,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_a7d92018,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed0/robust_sweep/robust_sweeps/ckpt_policy/edge_phase,a7d9201866b364f63d75c4667d93bc5e,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_ae758f6f,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed1/robust_sweep/robust_sweeps/ckpt_policy_abl_GlobalCoin/edge_phase,ae758f6fd55ce96d35a22f6ba802ddb6,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_b328a105,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed1/robust_sweep/robust_sweeps/ckpt_policy_abl_NodePermute/coin_dephase,b328a1057476c6c7c792a1fd60074e8f,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_b44111fb,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed0/robust_sweep/robust_sweeps/ckpt_policy_abl_NoPE/coin_dephase,b44111fbe8a9ac9fb8679510d7d6c3b3,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_c205d57a,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed1/robust_sweep/robust_sweeps/ckpt_policy_abl_NoPE/edge_phase,c205d57afaf0b1563fb67af86616493f,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
suite_policy_ckpt_256_0_1_2_3_4_5_6_7_8_9_cd1b1421,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed0/robust_sweep/robust_sweeps/ckpt_policy_abl_GlobalCoin/edge_phase,cd1b142182479a5fd844e4282145967d,,,,256,"0,1,2,3,4,5,6,7,8,9",,,,
